DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2023-0002-PHL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,PHL,Philippines,South-eastern Asia,Asia,Lanao del Norte,Heavy rains,"Slide (land, mud, snow, rock)|Storm",No,No,No,,,Km2,7.9579723,123.9021124,,2023,1,1.0,2023,1,29,52.0,11.0,2143347.0,,2143358.0,,,,,30371.0,30371.0,100,,2023-01-05,2024-03-05
2023-0002-PHL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,PHL,Philippines,South-eastern Asia,Asia,Davao de Oro,Heavy rains,"Slide (land, mud, snow, rock)|Storm",No,No,No,,,Km2,7.45,126.07,,2023,1,1.0,2023,1,29,52.0,11.0,2143347.0,,2143358.0,,,,,30371.0,30371.0,100,,2023-01-05,2024-03-05
2023-0002-PHL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,PHL,Philippines,South-eastern Asia,Asia,Davao del Norte,Heavy rains,"Slide (land, mud, snow, rock)|Storm",No,No,No,,,Km2,7.6179228,125.6832687,,2023,1,1.0,2023,1,29,52.0,11.0,2143347.0,,2143358.0,,,,,30371.0,30371.0,100,,2023-01-05,2024-03-05
2023-0002-PHL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,PHL,Philippines,South-eastern Asia,Asia,Maguindanao,Heavy rains,"Slide (land, mud, snow, rock)|Storm",No,No,No,,,Km2,6.1014858,125.1597744,,2023,1,1.0,2023,1,29,52.0,11.0,2143347.0,,2143358.0,,,,,30371.0,30371.0,100,,2023-01-05,2024-03-05
2023-0002-PHL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,PHL,Philippines,South-eastern Asia,Asia,Mimaropa,Heavy rains,"Slide (land, mud, snow, rock)|Storm",No,No,No,,,Km2,13.0106436,121.4115747,,2023,1,1.0,2023,1,29,52.0,11.0,2143347.0,,2143358.0,,,,,30371.0,30371.0,100,,2023-01-05,2024-03-05
2023-0002-PHL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,PHL,Philippines,South-eastern Asia,Asia,Cagayan Valley,Heavy rains,"Slide (land, mud, snow, rock)|Storm",No,No,No,,,Km2,17.6722156,121.8831043,,2023,1,1.0,2023,1,29,52.0,11.0,2143347.0,,2143358.0,,,,,30371.0,30371.0,100,,2023-01-05,2024-03-05
2023-0002-PHL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,PHL,Philippines,South-eastern Asia,Asia,Central Luzon,Heavy rains,"Slide (land, mud, snow, rock)|Storm",No,No,No,,,Km2,15.3942729,120.6872959,,2023,1,1.0,2023,1,29,52.0,11.0,2143347.0,,2143358.0,,,,,30371.0,30371.0,100,,2023-01-05,2024-03-05
2023-0002-PHL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,PHL,Philippines,South-eastern Asia,Asia,Calabarzon,Heavy rains,"Slide (land, mud, snow, rock)|Storm",No,No,No,,,Km2,14.1644023,121.3536525,,2023,1,1.0,2023,1,29,52.0,11.0,2143347.0,,2143358.0,,,,,30371.0,30371.0,100,,2023-01-05,2024-03-05
2023-0002-PHL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,PHL,Philippines,South-eastern Asia,Asia,Bicol,Heavy rains,"Slide (land, mud, snow, rock)|Storm",No,No,No,,,Km2,13.0764489,123.5162595,,2023,1,1.0,2023,1,29,52.0,11.0,2143347.0,,2143358.0,,,,,30371.0,30371.0,100,,2023-01-05,2024-03-05
2023-0002-PHL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,PHL,Philippines,South-eastern Asia,Asia,Western Visayas,Heavy rains,"Slide (land, mud, snow, rock)|Storm",No,No,No,,,Km2,11.2367324,122.6878187,,2023,1,1.0,2023,1,29,52.0,11.0,2143347.0,,2143358.0,,,,,30371.0,30371.0,100,,2023-01-05,2024-03-05
2023-0002-PHL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,PHL,Philippines,South-eastern Asia,Asia,Eastern Visayas,Heavy rains,"Slide (land, mud, snow, rock)|Storm",No,No,No,,,Km2,11.2945278,124.9959508,,2023,1,1.0,2023,1,29,52.0,11.0,2143347.0,,2143358.0,,,,,30371.0,30371.0,100,,2023-01-05,2024-03-05
2023-0002-PHL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,PHL,Philippines,South-eastern Asia,Asia,Zamboanga Peninsula,Heavy rains,"Slide (land, mud, snow, rock)|Storm",No,No,No,,,Km2,7.7787234,122.7570828,,2023,1,1.0,2023,1,29,52.0,11.0,2143347.0,,2143358.0,,,,,30371.0,30371.0,100,,2023-01-05,2024-03-05
2023-0002-PHL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,PHL,Philippines,South-eastern Asia,Asia,Soccsksargen,Heavy rains,"Slide (land, mud, snow, rock)|Storm",No,No,No,,,Km2,6.5647277,124.4840255,,2023,1,1.0,2023,1,29,52.0,11.0,2143347.0,,2143358.0,,,,,30371.0,30371.0,100,,2023-01-05,2024-03-05
2023-0002-PHL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,PHL,Philippines,South-eastern Asia,Asia,Caraga,Heavy rains,"Slide (land, mud, snow, rock)|Storm",No,No,No,,,Km2,9.2517336,125.851666,,2023,1,1.0,2023,1,29,52.0,11.0,2143347.0,,2143358.0,,,,,30371.0,30371.0,100,,2023-01-05,2024-03-05
2023-0003-NGA,No,tec-tra-wat-wat,Technological,Transport,Water,Water,,,NGA,Nigeria,Sub-Saharan Africa,Africa,Niger river,,,No,No,No,,,,6.1631165,6.7742738,,2023,1,4.0,2023,1,4,20.0,,80.0,,80.0,,,,,,,100,,2023-01-05,2023-09-26
2023-0006-IDN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,IDN,Indonesia,South-eastern Asia,Asia,Southwest Maluku,,,No,No,No,,7.6,Moment Magnitude,,,,2023,1,10.0,2023,1,10,1.0,11.0,4350.0,60.0,4421.0,,,,,,,100,"[{""adm1_code"":73615,""adm1_name"":""Maluku""}]",2023-01-18,2023-09-26
2023-0006-IDN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,IDN,Indonesia,South-eastern Asia,Asia,Tanimbar Islands,,,No,No,No,,7.6,Moment Magnitude,-8.6735389,115.215044,,2023,1,10.0,2023,1,10,1.0,11.0,4350.0,60.0,4421.0,,,,,,,100,"[{""adm1_code"":73615,""adm1_name"":""Maluku""}]",2023-01-18,2023-09-26
2023-0007-COL,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,COL,Colombia,Latin America and the Caribbean,Americas,Rosas,Heavy rains,,No,No,No,,,,2.2621018,-76.7392875,,2023,1,10.0,2023,1,10,,,700.0,,700.0,,,,,,,100,"[{""adm2_code"":13748,""adm2_name"":""Rosas""}]",2023-01-18,2023-09-26
2023-0007-COL,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,COL,Colombia,Latin America and the Caribbean,Americas,Cauca,Heavy rains,,No,No,No,,,,2.715645,-76.662665,,2023,1,10.0,2023,1,10,,,700.0,,700.0,,,,,,,100,"[{""adm2_code"":13748,""adm2_name"":""Rosas""}]",2023-01-18,2023-09-26
2023-0011-ARM,No,tec-mis-fir-fir,Technological,Miscellaneous accident,Fire (Miscellaneous),Fire (Miscellaneous),,Military house,ARM,Armenia,Western Asia,Asia,Azat,,,No,No,No,,,,40.1791353,45.8721036,,2023,1,19.0,2023,1,19,15.0,,,,,,,,,,,100,,2023-01-19,2023-09-26
2023-0011-ARM,No,tec-mis-fir-fir,Technological,Miscellaneous accident,Fire (Miscellaneous),Fire (Miscellaneous),,Military house,ARM,Armenia,Western Asia,Asia,Gegharkunik,,,No,No,No,,,,40.3030726,45.375739,,2023,1,19.0,2023,1,19,15.0,,,,,,,,,,,100,,2023-01-19,2023-09-26
2023-0012-IRN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,GLIDE:EQ-2023-000007,,IRN,Iran,Southern Asia,Asia,Khoy,,,No,No,No,,5.7,Moment Magnitude,38.5504343,44.95354,,2023,1,18.0,2023,1,18,,252.0,41426.0,,41678.0,,,,,50000.0,50000.0,100,,2023-01-19,2023-09-26
