DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2023-0002-PHL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,PHL,Philippines,South-eastern Asia,Asia,"Lanao del Norte Province (Northern Mindanao Region); Davao de Oro and Davao del Norte provinces; Maguindanao (BARMM Region); Mimaropa Region; Cagayan Valley, Central Luzon, Calabarzon, Bicol, Western Visayas, Eastern Visayas, Zamboanga Peninsula, Soccsksargen, Caraga",Heavy rains,"Slide (land, mud, snow, rock)|Storm",No,No,No,,,Km2,,,,2023,1,1,2023,1,29,52,11,2143347,,2143358,,,,,30371,30371,100,,2023-01-05,2024-03-05
2023-0003-NGA,No,tec-tra-wat-wat,Technological,Transport,Water,Water,,,NGA,Nigeria,Sub-Saharan Africa,Africa,Niger river (Kebbi state),,,No,No,No,,,,,,,2023,1,4,2023,1,4,20,,80,,80,,,,,,,100,,2023-01-05,2023-09-26
2023-0006-IDN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,IDN,Indonesia,South-eastern Asia,Asia,Southwest Maluku and Tanimbar Islands Regencies (Maluku Province),,,No,No,No,,7.6,Moment Magnitude,-7.065,130.005,,2023,1,10,2023,1,10,1,11,4350,60,4421,,,,,,,100,"[{""adm1_code"":73615,""adm1_name"":""Maluku""}]",2023-01-18,2023-09-26
2023-0007-COL,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,COL,Colombia,Latin America and the Caribbean,Americas,"Rosas, Cauca municipality",Heavy rains,,No,No,No,,,,,,,2023,1,10,2023,1,10,,,700,,700,,,,,,,100,"[{""adm2_code"":13748,""adm2_name"":""Rosas""}]",2023-01-18,2023-09-26
2023-0011-ARM,No,tec-mis-fir-fir,Technological,Miscellaneous accident,Fire (Miscellaneous),Fire (Miscellaneous),,Military house,ARM,Armenia,Western Asia,Asia,"Azat, Gegharkunik region",,,No,No,No,,,,,,,2023,1,19,2023,1,19,15,,,,,,,,,,,100,,2023-01-19,2023-09-26
2023-0012-IRN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,GLIDE:EQ-2023-000007,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,"Khoy, Firoraq (Azerbaïdjan province)",,,No,No,No,,5.7,Moment Magnitude,38.44,44.946,,2023,1,18,2023,1,18,,252,41426,,41678,,,,,50000,50000,100,,2023-01-19,2023-09-26
2023-0013-UKR,No,tec-tra-air-air,Technological,Transport,Air,Air,,Helicopter,UKR,Ukraine,Eastern Europe,Europe,"Brovary, (near Kiev)",,,No,No,No,,,,,,,2023,1,18,2023,1,18,16,22,,,22,,,,,,,100,,2023-01-19,2023-09-26
2023-0014-SEN,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,SEN,Senegal,Sub-Saharan Africa,Africa,Sakal,,,No,No,No,,,,,,,2023,1,16,2023,1,16,22,,,,,,,,,,,100,,2023-01-19,2023-09-26
2023-0015-CHN,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,CHN,China,Eastern Asia,Asia,Nanchang (Jiangxi province),,,No,No,No,,,,,,,2023,1,8,2023,1,8,19,20,,,20,,,,,,,100,,2023-01-19,2023-09-26
2023-0016-KEN,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,KEN,Kenya,Sub-Saharan Africa,Africa,Lwakhakha,,,No,No,No,,,,,,,2023,1,8,2023,1,8,21,,,,,,,,,,,100,,2023-01-19,2023-09-26
2023-0017-UGA,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,UGA,Uganda,Sub-Saharan Africa,Africa,Near Gulu,,,No,No,No,,,,,,,2023,1,4,2023,1,4,16,,,,,,,,,,,100,,2023-01-19,2023-09-26
2023-0018-UGA,No,tec-mis-mis-mis,Technological,Miscellaneous accident,Miscellaneous accident (General),Miscellaneous accident (General),,Stampede,UGA,Uganda,Sub-Saharan Africa,Africa,Kampala,,,No,No,No,,,,,,,2023,1,1,2023,1,1,10,,,,,,,,,,,100,,2023-01-19,2023-09-26
2023-0019-AFG,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,AFG,Afghanistan,Southern Asia,Asia,"Ghor, Baghlan, Sar-e-Pul, Faryab, Takhar, Kandahar, Nimroz and Badghis",,Intoxication,No,No,No,,-33,°C,,,,2023,1,9,2023,1,23,166,,,,,,,,,,,100,"[{""adm1_code"":273,""adm1_name"":""Badghis""},{""adm1_code"":274,""adm1_name"":""Baghlan""},{""adm1_code"":278,""adm1_name"":""Faryab""},{""adm1_code"":280,""adm1_name"":""Ghor""},{""adm1_code"":285,""adm1_name"":""Kandahar""},{""adm1_code"":293,""adm1_name"":""Nimroz""},{""adm1_code"":299,""adm1_name"":""Sar-e-Pul""},{""adm1_code"":300,""adm1_name"":""Takhar""}]",2023-01-23,2024-02-27
2023-0020-MDG,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Cheneso',MDG,Madagascar,Sub-Saharan Africa,Africa,Antalaha (Sava Region); Diana regon,,"Flood|Slide (land, mud, snow, rock)",No,No,No,,106,Kph,,,,2023,1,19,2023,1,23,53,,90870,,90870,,,,,20000,20000,100,"[{""adm1_code"":41762,""adm1_name"":""Diana""},{""adm2_code"":154596,""adm2_name"":""Antalaha""}]",2023-01-23,2023-09-26
2023-0021-CHN,No,nat-hyd-mmw-ava,Natural,Hydrological,Mass movement (wet),Avalanche (wet),,,CHN,China,Eastern Asia,Asia,"Nyingchi City (Nyingchi County, Autonomous Region of Tibet)",,,No,No,No,,,,,,,2023,1,17,2023,1,17,28,5,53,,58,,,,,,,100,,2023-01-23,2023-09-26
2023-0022-SRB,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,SRB,Serbia,Southern Europe,Europe,"Sjenica and Brodarevo Novi Pazar Municipality; Novi Pazar Municipality (Sumadija and Western Serbia Region, south-western Serbia)",Heavy rainfall and river overflow,,No,No,No,,,Km2,,,Trnavica River,2023,1,18,2023,1,20,2,,210,,210,,,,,,,100,,2023-01-23,2023-09-26
2023-0028-BRA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,BRA,Brazil,Latin America and the Caribbean,Americas,Rodeio Municipality (Santa Caterina State),,"Slide (land, mud, snow, rock)|Storm",No,No,No,,,Km2,,,,2023,1,17,2023,1,18,5,,180,,180,,,,,10000,10000,100,"[{""adm2_code"":10907,""adm2_name"":""Rodeio""}]",2023-01-23,2024-10-28
2023-0032-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,USA,United States of America,Northern America,Americas,Alabama and Georgia,,,No,No,Yes,,145,Kph,,,,2023,1,12,2023,1,12,11,49,,,49,,,,,770000,770000,100,"[{""adm1_code"":3214,""adm1_name"":""Alabama""},{""adm1_code"":3224,""adm1_name"":""Georgia""}]",2023-01-23,2024-01-24
2023-0034-SYR,No,tec-mis-col-col,Technological,Miscellaneous accident,Collapse (Miscellaneous),Collapse (Miscellaneous),,Building,SYR,Syrian Arab Republic,Western Asia,Asia,Alep,,,No,No,No,,,,,,,2023,1,22,2023,1,22,16,4,,,4,,,,,,,100,,2023-01-23,2023-09-26
2023-0035-THA,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,THA,Thailand,South-eastern Asia,Asia,Nakhon Ratchasima province,,,No,No,No,,,,,,,2023,1,21,2023,1,21,11,,,,,,,,,,,100,,2023-01-23,2023-09-26
2023-0036-KOR,No,tec-mis-fir-fir,Technological,Miscellaneous accident,Fire (Miscellaneous),Fire (Miscellaneous),,Slum,KOR,Republic of Korea,Eastern Asia,Asia,Guryong (Seoul),,,No,No,No,,,,,,,2023,1,20,2023,1,20,,,500,,500,,,,,,,100,,2023-01-23,2023-09-26
2023-0037-DZA,No,tec-mis-mis-mis,Technological,Miscellaneous accident,Miscellaneous accident (General),Miscellaneous accident (General),,,DZA,Algeria,Northern Africa,Africa,"Boussaada, Ain Oulmane, Mostaganem",,Cold wave,No,No,No,,,,,,,2023,1,9,2023,1,10,17,,,,,,,,,,,100,,2023-01-23,2023-09-26
2023-0038-AUS,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,AUS,Australia,Australia and New Zealand,Oceania,Kimberley region (Western Australia),Heavy rains,,No,No,No,,,Km2,,,,2023,1,6,2023,1,10,,,363,114,477,,,,,,,100,"[{""adm2_code"":5472,""adm2_name"":""Derby-West Kimberley (S)""},{""adm2_code"":5569,""adm2_name"":""Wyndham-East Kimberley (S)""}]",2023-01-23,2024-10-28
2023-0039-NPL,No,tec-tra-air-air,Technological,Transport,Air,Air,,,NPL,Nepal,Southern Asia,Asia,Pokhara,,,No,No,No,,,,,,,2023,1,15,2023,1,15,72,,,,,,,,,,,100,,2023-01-23,2023-09-26
2023-0041-IDN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IDN,Indonesia,South-eastern Asia,Asia,Aceh and West Sumatra Provinces,Torrential rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2023,1,20,2023,1,27,,,100000,,100000,,,,,,,100,,2023-01-27,2024-01-23
2023-0041-MYS,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,MYS,Malaysia,South-eastern Asia,Asia,"Johor, Pahang, and Sabah States",Torrential rains,,No,No,No,,,Km2,,,,2023,1,20,2023,1,27,,,11000,,11000,,,,,,,100,,2023-01-27,2024-01-23
2023-0043-MOZ,No,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,GLIDE:EP-2023-000006,Cholera,MOZ,Mozambique,Sub-Saharan Africa,Africa,"Xai-Xai, Chilaulene (Gaza); Lichinga, Lago, Senga, Cuamba, Madimba, Chimbonila (Niassa); Machanga, Chibabbavu, Buzi, Dondo, Nhamatanda, Muanza, Gorongosa, Cheringoma, Merromeu, Maringue, Caia, Chemba and Beira city (Sofala); Angonia, Muturara (Tete); Milange (Zambezia)",,,No,No,No,,,,,,,2023,1,8,2023,1,13,141,33544,,,33544,,,,,,,100,,2023-01-30,2025-04-16
2023-0044-IDN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IDN,Indonesia,South-eastern Asia,Asia,Manado City area (North Sulawesi Province),Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,Tondanao River,2023,1,27,2023,1,30,,,16700,,16700,,,,,,,100,,2023-01-30,2023-09-26
2023-0046-NZL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,NZL,New Zealand,Australia and New Zealand,Oceania,"Kelston, Albany, Randwick Park, Mangere, Wellsford, Warkworth and Kumeu Region (Auckland)",Heavy rains,,No,No,Yes,,,Km2,,,,2023,1,27,2023,2,2,4,,3786,1614,5400,,,1300000,1300000,1900000,1900000,100,,2023-01-30,2024-10-28
2023-0047-IRN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,"Firouragh district, Khoy county (West Azerbaijan)",,,No,No,No,,5.9,Moment Magnitude,38.424,44.909,,2023,1,28,2023,1,28,3,1017,261387,,262404,,,,,255000,255000,100,"[{""adm2_code"":41005,""adm2_name"":""Khoy""}]",2023-01-30,2023-10-25
2023-0050-CHL,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,CHL,Chile,Latin America and the Caribbean,Americas,"Bío Bío, Araucanía, Ñuble, Maule, Los Ríos, Los Lagos, Aysén, O’Higgins, Valparaíso, and Santiago Metropolitan",Strong winds and high temperatures,Heat wave,No,No,No,,,Km2,,,,2023,2,1,2023,3,6,26,3034,7500,,10534,,,,,900000,900000,100,"[{""adm1_code"":884,""adm1_name"":""Araucania""},{""adm1_code"":892,""adm1_name"":""Maule""},{""adm1_code"":91501,""adm1_name"":""Los Lagos""},{""adm1_code"":91504,""adm1_name"":""Los Rios""},{""adm1_code"":149630,""adm1_name"":""Valparaiso""},{""adm2_code"":12947,""adm2_name"":""Ñuble""},{""adm2_code"":12971,""adm2_name"":""Santiago""}]",2023-02-06,2024-01-29
2023-0052-CAN,No,nat-met-ext-sev,Natural,Meteorological,Extreme temperature,Severe winter conditions,,,CAN,Canada,Northern America,Americas,,,,No,No,No,,-50,°C,,,,2023,1,30,2023,2,5,2,,,,,,,,,165000,165000,100,,2023-02-06,2023-09-26
2023-0052-USA,No,nat-met-ext-sev,Natural,Meteorological,Extreme temperature,Severe winter conditions,,,USA,United States of America,Northern America,Americas,"Texas, Arkansas, Louisiana, Oklahoma, Tennessee. Mississippi",,Cold wave|Transport accident,No,No,No,,-50,°C,,,,2023,1,30,2023,2,1,10,25,,,25,,,,,385000,385000,100,"[{""adm1_code"":3217,""adm1_name"":""Arkansas""},{""adm1_code"":3232,""adm1_name"":""Louisiana""},{""adm1_code"":3238,""adm1_name"":""Mississippi""},{""adm1_code"":3250,""adm1_name"":""Oklahoma""},{""adm1_code"":3256,""adm1_name"":""Tennessee""},{""adm1_code"":3257,""adm1_name"":""Texas""}]",2023-02-06,2024-01-26
2023-0054-SYR,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,GLIDE:EQ-2023-000015,,SYR,Syrian Arab Republic,Western Asia,Asia,"Aleppo, Lattakia, Hama; Harim (Idlib); Tartous; Atmeh, Sarmada, Atareb, and Kafr Takharim",,,No,No,Yes,,7.8,Moment Magnitude,38.055,36.51,,2023,2,6,2023,2,6,5900,8700,8800000,,8808700,14800000,14800000,,,8900000,8900000,100,"[{""adm1_code"":2834,""adm1_name"":""Aleppo""},{""adm1_code"":2840,""adm1_name"":""Hama""},{""adm1_code"":2844,""adm1_name"":""Lattakia""},{""adm1_code"":2846,""adm1_name"":""Tartous""},{""adm2_code"":26364,""adm2_name"":""Harim""}]",2023-02-06,2024-02-26
2023-0054-TUR,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,GLIDE:EQ-2023-000015,,TUR,Türkiye,Western Asia,Asia,"Gaziantep; Pazarcik District (Kahramanmaras); Sanliurfa, Diyarbakir, Adana, Adiyaman, Osmaniye, Hatay, Kilis, Elazig, Malatya",,Fire,No,Yes,Yes,,7.8,Moment Magnitude,38.055,36.51,,2023,2,6,2023,2,6,53000,107000,16000000,,16107000,100000000,100000000,,,34000000,34000000,100,"[{""adm1_code"":3017,""adm1_name"":""Adana""},{""adm1_code"":3018,""adm1_name"":""Adiyaman""},{""adm1_code"":3042,""adm1_name"":""Diyarbakir""},{""adm1_code"":3044,""adm1_name"":""Elazig""},{""adm1_code"":3048,""adm1_name"":""Gaziantep""},{""adm1_code"":3052,""adm1_name"":""Hatay""},{""adm1_code"":3064,""adm1_name"":""Kilis""},{""adm1_code"":3071,""adm1_name"":""Malatya""},{""adm1_code"":3079,""adm1_name"":""Osmaniye""},{""adm1_code"":3083,""adm1_name"":""Sanliurfa""},{""adm2_code"":27957,""adm2_name"":""Pazarcik""}]",2023-02-06,2024-07-17
